Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,10,7000,1000,70000,30000
20,10,7000,1000,70000,30000
21,10,7000,1000,70000,30000
22,10,7000,1000,70000,30000
23,10,7000,1000,70000,30000
24,10,7000,1000,70000,30000
25,10,7000,1000,70000,30000
26,10,7000,1000,70000,30000
27,10,7000,1000,70000,30000
28,10,7000,1000,70000,30000
29,10,7000,1000,70000,30000
30,10,7000,1000,70000,30000
31,10,7000,1000,70000,30000
32,10,7000,1000,70000,30000
33,10,7000,1000,70000,30000
34,10,7000,1000,70000,30000
35,10,7000,1000,70000,30000
36,10,7000,1000,70000,30000
37,10,7000,1000,70000,30000
38,10,7000,1000,70000,30000
39,11,7052.033,1007.772,70026.64,29963.46
40,11,7052.033,1007.772,70026.64,29963.46
41,11,7052.033,1007.772,70026.64,29963.46
42,11,7052.033,1007.772,70026.64,29963.46
43,11,7052.033,1007.772,70026.64,29963.46
44,12,7054.983,1002.434,70161.23,29805.59
45,12,7054.983,1002.434,70161.23,29805.59
46,12,7054.983,1002.434,70161.23,29805.59
47,12,7054.983,1002.434,70161.23,29805.59
48,12,7054.983,1002.434,70161.23,29805.59
49,12,7054.983,1002.434,70161.23,29805.59
50,12,7054.983,1002.434,70161.23,29805.59
51,12,7054.983,1002.434,70161.23,29805.59
52,12,7054.983,1002.434,70161.23,29805.59
53,12,7054.983,1002.434,70161.23,29805.59
54,12,7054.983,1002.434,70161.23,29805.59
55,12,7054.983,1002.434,70161.23,29805.59
56,12,7054.983,1002.434,70161.23,29805.59
57,12,7054.983,1002.434,70161.23,29805.59
58,12,7054.983,1002.434,70161.23,29805.59
59,12,7054.983,1002.434,70161.23,29805.59
60,12,7054.983,1002.434,70161.23,29805.59
61,12,7054.983,1002.434,70161.23,29805.59
62,12,7054.983,1002.434,70161.23,29805.59
63,12,7054.983,1002.434,70161.23,29805.59
64,12,7054.983,1002.434,70161.23,29805.59
65,12,7054.983,1002.434,70161.23,29805.59
66,12,7054.983,1002.434,70161.23,29805.59
67,12,7054.983,1002.434,70161.23,29805.59
68,12,7054.983,1002.434,70161.23,29805.59
69,12,7054.983,1002.434,70161.23,29805.59
70,12,7054.983,1002.434,70161.23,29805.59
71,12,7054.983,1002.434,70161.23,29805.59
72,12,7054.983,1002.434,70161.23,29805.59
73,12,7054.983,1002.434,70161.23,29805.59
74,12,7054.983,1002.434,70161.23,29805.59
75,12,7054.983,1002.434,70161.23,29805.59
76,12,7054.983,1002.434,70161.23,29805.59
77,12,7054.983,1002.434,70161.23,29805.59
78,12,7054.983,1002.434,70161.23,29805.59
79,11,7059.982,1002.656,70175.9,29787.92
80,11,7059.982,1002.656,70175.9,29787.92
81,11,7059.982,1002.656,70175.9,29787.92
82,11,7059.982,1002.656,70175.9,29787.92
83,11,7059.982,1002.656,70175.9,29787.92
84,11,7059.982,1002.656,70175.9,29787.92
85,11,7059.982,1002.656,70175.9,29787.92
86,11,7059.982,1002.656,70175.9,29787.92
87,11,7059.982,1002.656,70175.9,29787.92
88,11,7059.982,1002.656,70175.9,29787.92
89,11,7059.982,1002.656,70175.9,29787.92
90,11,7059.982,1002.656,70175.9,29787.92
91,11,7059.982,1002.656,70175.9,29787.92
92,11,7059.982,1002.656,70175.9,29787.92
93,11,7059.982,1002.656,70175.9,29787.92
94,11,7059.982,1002.656,70175.9,29787.92
95,11,7059.982,1002.656,70175.9,29787.92
96,11,7059.982,1002.656,70175.9,29787.92
97,11,7059.982,1002.656,70175.9,29787.92
98,11,7059.982,1002.656,70175.9,29787.92
99,11,7059.982,1002.656,70175.9,29787.92
100,10,7057.237,1008.549,70029.3,29959.8
101,10,7057.237,1008.549,70029.3,29959.8
102,10,7057.237,1008.549,70029.3,29959.8
103,10,7057.237,1008.549,70029.3,29959.8
104,10,7057.237,1008.549,70029.3,29959.8
105,10,7057.237,1008.549,70029.3,29959.8
106,10,7057.237,1008.549,70029.3,29959.8
107,10,7057.237,1008.549,70029.3,29959.8
108,10,7057.237,1008.549,70029.3,29959.8
109,10,7057.237,1008.549,70029.3,29959.8
110,10,7057.237,1008.549,70029.3,29959.8
111,10,7057.237,1008.549,70029.3,29959.8
112,10,7057.237,1008.549,70029.3,29959.8
113,10,7057.237,1008.549,70029.3,29959.8
114,10,7057.237,1008.549,70029.3,29959.8
115,10,7057.237,1008.549,70029.3,29959.8
116,10,7057.237,1008.549,70029.3,29959.8
117,10,7057.237,1008.549,70029.3,29959.8
118,10,7057.237,1008.549,70029.3,29959.8
