Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,10,7000,1000,70000,30000
20,10,7000,1000,70000,30000
21,10,7000,1000,70000,30000
22,10,7000,1000,70000,30000
23,10,7000,1000,70000,30000
24,10,7000,1000,70000,30000
25,10,7000,1000,70000,30000
26,10,7000,1000,70000,30000
27,10,7000,1000,70000,30000
28,10,7000,1000,70000,30000
29,10,7000,1000,70000,30000
30,10,7000,1000,70000,30000
31,10,7000,1000,70000,30000
32,10,7000,1000,70000,30000
33,10,7000,1000,70000,30000
34,10,7000,1000,70000,30000
35,10,7000,1000,70000,30000
36,10,7000,1000,70000,30000
37,10,7000,1000,70000,30000
38,10,7000,1000,70000,30000
39,10,7000,1000,70000,30000
40,10,7000,1000,70000,30000
41,10,7000,1000,70000,30000
42,10,7000,1000,70000,30000
43,10,7000,1000,70000,30000
44,10,7000,1000,70000,30000
45,10,7000,1000,70000,30000
46,10,7000,1000,70000,30000
47,10,7000,1000,70000,30000
48,10,7000,1000,70000,30000
49,10,7000,1000,70000,30000
50,10,7000,1000,70000,30000
51,10,7000,1000,70000,30000
52,10,7000,1000,70000,30000
53,10,7000,1000,70000,30000
54,10,7000,1000,70000,30000
55,10,7000,1000,70000,30000
56,10,7000,1000,70000,30000
57,10,7000,1000,70000,30000
58,11,6960.849,1024.972,69925.3,30029.24
59,11,6960.849,1024.972,69925.3,30029.24
60,11,6960.849,1024.972,69925.3,30029.24
61,11,6960.849,1024.972,69925.3,30029.24
62,11,6960.849,1024.972,69925.3,30029.24
63,11,6960.849,1024.972,69925.3,30029.24
64,11,6960.849,1024.972,69925.3,30029.24
65,11,6960.849,1024.972,69925.3,30029.24
66,11,6960.849,1024.972,69925.3,30029.24
67,11,6960.849,1024.972,69925.3,30029.24
68,11,6960.849,1024.972,69925.3,30029.24
69,11,6960.849,1024.972,69925.3,30029.24
70,12,6938.721,1028.762,69901.97,30098.68
71,12,6938.721,1028.762,69901.97,30098.68
72,12,6938.721,1028.762,69901.97,30098.68
73,12,6938.721,1028.762,69901.97,30098.68
74,12,6938.721,1028.762,69901.97,30098.68
75,12,6938.721,1028.762,69901.97,30098.68
76,12,6938.721,1028.762,69901.97,30098.68
77,12,6938.721,1028.762,69901.97,30098.68
78,12,6938.721,1028.762,69901.97,30098.68
79,12,6938.721,1028.762,69901.97,30098.68
80,12,6938.721,1028.762,69901.97,30098.68
81,12,6938.721,1028.762,69901.97,30098.68
82,12,6938.721,1028.762,69901.97,30098.68
83,12,6938.721,1028.762,69901.97,30098.68
84,12,6938.721,1028.762,69901.97,30098.68
85,12,6938.721,1028.762,69901.97,30098.68
86,12,6938.721,1028.762,69901.97,30098.68
87,12,6938.721,1028.762,69901.97,30098.68
88,12,6938.721,1028.762,69901.97,30098.68
89,12,6938.721,1028.762,69901.97,30098.68
90,12,6938.721,1028.762,69901.97,30098.68
91,12,6938.721,1028.762,69901.97,30098.68
92,12,6938.721,1028.762,69901.97,30098.68
93,12,6938.721,1028.762,69901.97,30098.68
94,12,6938.721,1028.762,69901.97,30098.68
95,12,6938.721,1028.762,69901.97,30098.68
96,12,6938.721,1028.762,69901.97,30098.68
97,12,6938.721,1028.762,69901.97,30098.68
98,12,6938.721,1028.762,69901.97,30098.68
99,12,6938.721,1028.762,69901.97,30098.68
100,12,6938.721,1028.762,69901.97,30098.68
101,12,6938.721,1028.762,69901.97,30098.68
102,12,6938.721,1028.762,69901.97,30098.68
103,12,6938.721,1028.762,69901.97,30098.68
104,12,6938.721,1028.762,69901.97,30098.68
105,12,6938.721,1028.762,69901.97,30098.68
106,13,6920.703,1068.656,69859.53,30197.23
107,13,6920.703,1068.656,69859.53,30197.23
108,13,6920.703,1068.656,69859.53,30197.23
109,13,6920.703,1068.656,69859.53,30197.23
110,13,6920.703,1068.656,69859.53,30197.23
111,13,6920.703,1068.656,69859.53,30197.23
112,13,6920.703,1068.656,69859.53,30197.23
113,13,6920.703,1068.656,69859.53,30197.23
114,13,6920.703,1068.656,69859.53,30197.23
115,13,6920.703,1068.656,69859.53,30197.23
116,13,6920.703,1068.656,69859.53,30197.23
117,13,6920.703,1068.656,69859.53,30197.23
118,13,6920.703,1068.656,69859.53,30197.23
119,13,6920.703,1068.656,69859.53,30197.23
120,13,6920.703,1068.656,69859.53,30197.23
121,13,6920.703,1068.656,69859.53,30197.23
122,13,6920.703,1068.656,69859.53,30197.23
123,13,6920.703,1068.656,69859.53,30197.23
124,13,6920.703,1068.656,69859.53,30197.23
125,13,6920.703,1068.656,69859.53,30197.23
