Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
1,10,7000,1000,70000,30000
2,10,7000,1000,70000,30000
3,10,7000,1000,70000,30000
4,10,7000,1000,70000,30000
5,10,7000,1000,70000,30000
6,10,7000,1000,70000,30000
7,10,7000,1000,70000,30000
8,10,7000,1000,70000,30000
9,10,7000,1000,70000,30000
10,10,7000,1000,70000,30000
11,10,7000,1000,70000,30000
12,10,7000,1000,70000,30000
13,10,7000,1000,70000,30000
14,10,7000,1000,70000,30000
15,10,7000,1000,70000,30000
16,10,7000,1000,70000,30000
17,10,7000,1000,70000,30000
18,10,7000,1000,70000,30000
19,10,7000,1000,70000,30000
20,10,7000,1000,70000,30000
21,10,7000,1000,70000,30000
22,10,7000,1000,70000,30000
23,10,7000,1000,70000,30000
24,10,7000,1000,70000,30000
25,10,7000,1000,70000,30000
26,10,7000,1000,70000,30000
27,10,7000,1000,70000,30000
28,10,7000,1000,70000,30000
29,10,7000,1000,70000,30000
30,10,7000,1000,70000,30000
31,10,7000,1000,70000,30000
32,10,7000,1000,70000,30000
33,10,7000,1000,70000,30000
34,10,7000,1000,70000,30000
35,10,7000,1000,70000,30000
36,10,7000,1000,70000,30000
37,10,7000,1000,70000,30000
38,10,7000,1000,70000,30000
39,10,7000,1000,70000,30000
40,10,7000,1000,70000,30000
41,10,7000,1000,70000,30000
42,10,7000,1000,70000,30000
43,10,7000,1000,70000,30000
44,11,6985.782,1012.509,69850.03,29962.32
45,11,6985.782,1012.509,69850.03,29962.32
46,11,6985.782,1012.509,69850.03,29962.32
47,11,6985.782,1012.509,69850.03,29962.32
48,11,6985.782,1012.509,69850.03,29962.32
49,11,6985.782,1012.509,69850.03,29962.32
50,11,6985.782,1012.509,69850.03,29962.32
51,11,6985.782,1012.509,69850.03,29962.32
52,11,6985.782,1012.509,69850.03,29962.32
53,11,6985.782,1012.509,69850.03,29962.32
54,11,6985.782,1012.509,69850.03,29962.32
55,11,6985.782,1012.509,69850.03,29962.32
56,11,6985.782,1012.509,69850.03,29962.32
57,11,6985.782,1012.509,69850.03,29962.32
58,11,6985.782,1012.509,69850.03,29962.32
59,11,6985.782,1012.509,69850.03,29962.32
60,11,6985.782,1012.509,69850.03,29962.32
61,11,6985.782,1012.509,69850.03,29962.32
62,11,6985.782,1012.509,69850.03,29962.32
63,11,6985.782,1012.509,69850.03,29962.32
64,11,6985.782,1012.509,69850.03,29962.32
65,11,6985.782,1012.509,69850.03,29962.32
66,12,6945.938,1005.654,69763.3,30032.78
67,12,6945.938,1005.654,69763.3,30032.78
68,12,6945.938,1005.654,69763.3,30032.78
69,12,6945.938,1005.654,69763.3,30032.78
70,12,6945.938,1005.654,69763.3,30032.78
71,12,6945.938,1005.654,69763.3,30032.78
72,12,6945.938,1005.654,69763.3,30032.78
73,12,6945.938,1005.654,69763.3,30032.78
74,12,6945.938,1005.654,69763.3,30032.78
75,12,6945.938,1005.654,69763.3,30032.78
76,12,6945.938,1005.654,69763.3,30032.78
77,12,6945.938,1005.654,69763.3,30032.78
78,12,6945.938,1005.654,69763.3,30032.78
79,12,6945.938,1005.654,69763.3,30032.78
80,12,6945.938,1005.654,69763.3,30032.78
81,12,6945.938,1005.654,69763.3,30032.78
82,12,6945.938,1005.654,69763.3,30032.78
83,12,6945.938,1005.654,69763.3,30032.78
84,12,6945.938,1005.654,69763.3,30032.78
85,12,6945.938,1005.654,69763.3,30032.78
86,13,6937.482,959.0336,69760.7,30024.68
87,14,6913.356,965.91,69683.84,29936.25
88,14,6913.356,965.91,69683.84,29936.25
89,14,6913.356,965.91,69683.84,29936.25
90,14,6913.356,965.91,69683.84,29936.25
91,14,6913.356,965.91,69683.84,29936.25
92,14,6913.356,965.91,69683.84,29936.25
93,14,6913.356,965.91,69683.84,29936.25
94,14,6913.356,965.91,69683.84,29936.25
95,14,6913.356,965.91,69683.84,29936.25
96,14,6913.356,965.91,69683.84,29936.25
97,14,6913.356,965.91,69683.84,29936.25
98,14,6913.356,965.91,69683.84,29936.25
99,14,6913.356,965.91,69683.84,29936.25
100,14,6913.356,965.91,69683.84,29936.25
101,14,6913.356,965.91,69683.84,29936.25
102,14,6913.356,965.91,69683.84,29936.25
103,14,6913.356,965.91,69683.84,29936.25
104,14,6913.356,965.91,69683.84,29936.25
105,15,7003.993,959.2787,69725.09,29927.77
106,15,7003.993,959.2787,69725.09,29927.77
107,15,7003.993,959.2787,69725.09,29927.77
108,15,7003.993,959.2787,69725.09,29927.77
109,15,7003.993,959.2787,69725.09,29927.77
110,14,7004.278,956.3701,69705.45,29922.61
111,14,7004.278,956.3701,69705.45,29922.61
112,14,7004.278,956.3701,69705.45,29922.61
113,14,7004.278,956.3701,69705.45,29922.61
114,14,7004.278,956.3701,69705.45,29922.61
115,14,7004.278,956.3701,69705.45,29922.61
116,14,7004.278,956.3701,69705.45,29922.61
117,14,7004.278,956.3701,69705.45,29922.61
118,14,7004.278,956.3701,69705.45,29922.61
119,14,7004.278,956.3701,69705.45,29922.61
120,14,7004.278,956.3701,69705.45,29922.61
121,14,7004.278,956.3701,69705.45,29922.61
